Ligand_Name,Site_Number,With_Or_Without_Water,dG,Mean
Hydroxychloroquine,Site3d,Without_Water,-7.795,0
Hydroxychloroquine,Site3d,Without_Water,-7.682,0
Hydroxychloroquine,Site3d,Without_Water,-7.243,-7.565
Hydroxychloroquine,Site3m,With_Water,-5.924,0
Hydroxychloroquine,Site3m,With_Water,-5.162,0
Hydroxychloroquine,Site3m,With_Water,-5.731,0
Hydroxychloroquine,Site3m,With_Water,-5.254,-5.51775
Hydroxychloroquine,Site3m,Without_Water,-5.162,0
Hydroxychloroquine,Site3m,Without_Water,-5.731,0
Hydroxychloroquine,Site3m,Without_Water,-5.254,0
Hydroxychloroquine,Site3m,Without_Water,-5.937,-5.521
Hypericin,Site1,With_Water,-9.946,0
Hypericin,Site1,With_Water,-9.693,0
Hypericin,Site1,With_Water,-9.536,0
Hypericin,Site1,With_Water,-8.396,-9.39275
Hypericin,Site1,Without_Water,-9.693,0
Hypericin,Site1,Without_Water,-9.536,0
Hypericin,Site1,Without_Water,-8.396,0
Hypericin,Site1,Without_Water,-8.717,-9.0855
Hypericin,Site2,With_Water,-12.713,0
Hypericin,Site2,With_Water,-13.225,0
Hypericin,Site2,With_Water,-12.087,0
Hypericin,Site2,With_Water,-13.19,-12.80375
Hypericin,Site2,Without_Water,-13.225,0
Hypericin,Site2,Without_Water,-12.087,0
Hypericin,Site2,Without_Water,-13.19,0
Hypericin,Site2,Without_Water,-13.251,-12.93825
Hypericin,Site3d,With_Water,-10.037,0
Hypericin,Site3d,With_Water,-10.166,0
Hypericin,Site3d,With_Water,-9.803,0
Hypericin,Site3d,With_Water,-10.572,-10.1445
Hypericin,Site3d,Without_Water,-10.166,0
Hypericin,Site3d,Without_Water,-9.803,0
Hypericin,Site3d,Without_Water,-10.572,0
Hypericin,Site3d,Without_Water,-9.229,-9.9425
Hypericin,Site3m,With_Water,-9.321,0
Hypericin,Site3m,With_Water,-10.019,0
Hypericin,Site3m,With_Water,-10.426,0
Hypericin,Site3m,With_Water,-9.798,-9.891
Hypericin,Site3m,Without_Water,-10.019,0
Hypericin,Site3m,Without_Water,-10.426,0
Hypericin,Site3m,Without_Water,-9.798,0
Hypericin,Site3m,Without_Water,-8.68,-9.73075
Hyperoside,Site1,With_water,-9.783,0
Hyperoside,Site1,With_water,-8.947,0
Hyperoside,Site1,With_water,-8.163,0
Hyperoside,Site1,With_water,-8.979,-8.968
Hyperoside,Site1,Without_water,-8.947,0
Hyperoside,Site1,Without_water,-8.163,0
Hyperoside,Site1,Without_water,-8.979,0
Hyperoside,Site1,Without_water,-7.552,-8.41025
Hyperoside,Site2,With_water,-13.186,0
Hyperoside,Site2,With_water,-13.514,0
Hyperoside,Site2,With_water,0,0
Hyperoside,Site2,With_water,0,-6.675
Hyperoside,Site2,Without_water,13.114,0
Hyperoside,Site2,Without_water,-14.144,0
Hyperoside,Site2,Without_water,-14.778,0
Hyperoside,Site2,Without_water,0,-3.952
Hyperoside,Site3d,With_water,-8.275,0
Hyperoside,Site3d,With_water,-8.079,0
Hyperoside,Site3d,With_water,-9.975,0
Hyperoside,Site3d,With_water,0,-6.58225
Hyperoside,Site3d,Without_water,-7.241,0
Hyperoside,Site3d,Without_water,-9.699,0
Hyperoside,Site3d,Without_water,-10.119,0
Hyperoside,Site3d,Without_water,-9.527,-9.1465
Hyperoside,Site3m,With_water,-7.319,0
Hyperoside,Site3m,With_water,-8.57,0
Hyperoside,Site3m,With_water,-9.098,0
Hyperoside,Site3m,With_water,-8.02,-8.25175
Hyperoside,Site3m,Without_water,-6.771,0
Hyperoside,Site3m,Without_water,-8.207,0
Hyperoside,Site3m,Without_water,-7.882,0
Hyperoside,Site3m,Without_water,-8.049,-7.72725
Ivermectin,Site1,With_Water,-7.751,0
Ivermectin,Site1,With_Water,-4.87,0
Ivermectin,Site1,With_Water,-6.978,0
Ivermectin,Site1,With_Water,-6.294,-6.47325
Ivermectin,Site1,Without_Water,-9.486,0
Ivermectin,Site1,Without_Water,-7.951,0
Ivermectin,Site1,Without_Water,-10.056,0
Ivermectin,Site1,Without_Water,-7.675,-8.792
Ivermectin,Site2,With_Water,-11.75,0
Ivermectin,Site2,With_Water,-9.447,0
Ivermectin,Site2,With_Water,-11.609,0
Ivermectin,Site2,With_Water,-9.01,-10.454
Ivermectin,Site2,Without_Water,-11.27,0
Ivermectin,Site2,Without_Water,-9.831,0
Ivermectin,Site2,Without_Water,-11.168,0
Ivermectin,Site2,Without_Water,-10.302,-10.64275
Ivermectin,Site3d,With_Water,-10.376,0
Ivermectin,Site3d,With_Water,-8.641,0
Ivermectin,Site3d,With_Water,-9.93,0
Ivermectin,Site3d,With_Water,-8.56,-9.37675
Ivermectin,Site3d,Without_Water,-10.087,0
Ivermectin,Site3d,Without_Water,-11.12,0
Ivermectin,Site3d,Without_Water,-10.573,0
Ivermectin,Site3d,Without_Water,-9.796,-10.394
Ivermectin,Site3m,With_Water,-7.213,0
Ivermectin,Site3m,With_Water,-7.464,0
Ivermectin,Site3m,With_Water,-8.089,0
Ivermectin,Site3m,With_Water,-7.363,-7.53225
Ivermectin,Site3m,Without_Water,-8.048,0
Ivermectin,Site3m,Without_Water,-8.024,0
Ivermectin,Site3m,Without_Water,-7.331,0
Ivermectin,Site3m,Without_Water,-7.689,-7.773
Myricetin,Site1,With_Water,-8.966,0
Myricetin,Site1,With_Water,-8.919,0
Myricetin,Site1,With_Water,-9.178,0
Myricetin,Site1,With_Water,-8.916,-8.99475
Myricetin,Site1,Without_Water,-8.669,0
Myricetin,Site1,Without_Water,-9.205,0
Myricetin,Site1,Without_Water,-8.979,0
Myricetin,Site1,Without_Water,-9.264,-9.02925
Myricetin,Site2,With_Water,-9.254,0
Myricetin,Site2,With_Water,-9.09,0
Myricetin,Site2,With_Water,-8.955,0
Myricetin,Site2,With_Water,-7.957,-8.814
Myricetin,Site2,Without_Water,-8.866,0
Myricetin,Site2,Without_Water,-7.894,0
Myricetin,Site2,Without_Water,-8.845,0
Myricetin,Site2,Without_Water,-7.979,-8.396
Myricetin,Site3d,With_Water,-8.371,0
Myricetin,Site3d,With_Water,-8.309,0
Myricetin,Site3d,With_Water,-8.424,0
Myricetin,Site3d,With_Water,-8.289,-8.34825
Myricetin,Site3d,Without_Water,-9.107,0
Myricetin,Site3d,Without_Water,-8.041,0
Myricetin,Site3d,Without_Water,-8.822,0
Myricetin,Site3d,Without_Water,-7.993,-8.49075
Myricetin,Site3m,With_Water,-7.496,0
Myricetin,Site3m,With_Water,-7.657,0
Myricetin,Site3m,With_Water,-7.554,0
Myricetin,Site3m,With_Water,-7.723,-7.6075
Myricetin,Site3m,Without_Water,-6.82,0
Myricetin,Site3m,Without_Water,-7.199,0
Myricetin,Site3m,Without_Water,-7.023,0
Myricetin,Site3m,Without_Water,-7.383,-7.10625
Nelfinavir,Site1,With_water,-11.28,0
Nelfinavir,Site1,With_water,-8.098,0
Nelfinavir,Site1,With_water,-11.65,0
Nelfinavir,Site1,With_water,-11.001,-10.50725
Nelfinavir,Site1,Without_water,-10.075,0
Nelfinavir,Site1,Without_water,-10.3,0
Nelfinavir,Site1,Without_water,-11.137,0
