Ligand_Name,Site_Number,With_Or_Without_Water,RMSD Value,WOW,dG,Mean
Fisetin,Site3m,Without_Water,0,With water,-12.4,0
Fisetin,Site3m,Without_Water,0.05504591,Without water,-12.3,0
Fisetin,Site3m,Without_Water,0.44860768,Reapeat with water,-12.4,0
Fisetin,Site3m,Without_Water,0.456666,Repeat without water,-12.3,-12.35
Forsythoside_E,Site1,With_Water,0,With water,-12.4,0
Forsythoside_E,Site1,With_Water,0.087777704,Without water,-12.3,0
Forsythoside_E,Site1,With_Water,0.1148956,Reapeat with water,-12.4,0
Forsythoside_E,Site1,With_Water,0.087777704,Repeat without water,-12.3,-12.35
Forsythoside_E,Site2,With_Water,0,With water,-11.1,0
Forsythoside_E,Site2,With_Water,0.32571968,Without water,-11,0
Forsythoside_E,Site2,With_Water,0.13026609,Reapeat with water,-11.1,0
Forsythoside_E,Site2,With_Water,0.32789183,Repeat without water,-11,-11.05
Forsythoside_E,Site2,Without_Water,0,With water,-11.1,0
Forsythoside_E,Site2,Without_Water,0.31114507,Without water,-11,0
Forsythoside_E,Site2,Without_Water,0.32058236,Reapeat with water,-11.1,0
Forsythoside_E,Site2,Without_Water,0.06472407,Repeat without water,-11,-11.05
Forsythoside_E,Site3d,With_Water,0,With water,-3.8,0
Forsythoside_E,Site3d,With_Water,0.17491636,Without water,-3.8,0
Forsythoside_E,Site3d,With_Water,0.3972506,Reapeat with water,-4.1,0
Forsythoside_E,Site3d,With_Water,0.26754114,Repeat without water,-3.9,-3.9
Forsythoside_E,Site3d,Without_Water,0,With water,-3.6,0
Forsythoside_E,Site3d,Without_Water,0.24455765,Without water,-3.8,0
Forsythoside_E,Site3d,Without_Water,0.091134265,Reapeat with water,-3.9,0
Forsythoside_E,Site3d,Without_Water,0.25796348,Repeat without water,-3.9,-3.8
Forsythoside_E,Site3m,With_Water,0,With water,-4.5,0
Forsythoside_E,Site3m,With_Water,0.047088645,Without water,-4.5,0
Forsythoside_E,Site3m,With_Water,0.057041615,Reapeat with water,-4.5,0
Forsythoside_E,Site3m,With_Water,0.08020248,Repeat without water,-4.5,-4.5
Forsythoside_E,Site3m,Without_Water,0.000308816,With water,-4.6,0
Forsythoside_E,Site3m,Without_Water,0.06252784,Without water,-4.5,0
Forsythoside_E,Site3m,Without_Water,0.12908775,Reapeat with water,-4.6,0
Forsythoside_E,Site3m,Without_Water,0.07187394,Repeat without water,-4.2,-4.475
Hydroxychloroquine,Site1,With_Water,0,With water,-4,0
Hydroxychloroquine,Site1,With_Water,0.25030613,Without water,-3.9,0
Hydroxychloroquine,Site1,With_Water,0.20519122,Reapeat with water,-4,0
Hydroxychloroquine,Site1,With_Water,0.19405271,Repeat without water,-4,-3.975
Hydroxychloroquine,Site1,Without_Water,0,With water,-4,0
Hydroxychloroquine,Site1,Without_Water,0.15021051,Without water,-4,0
Hydroxychloroquine,Site1,Without_Water,0.24085473,Reapeat with water,-4,0
Hydroxychloroquine,Site1,Without_Water,0.23826912,Repeat without water,-3.8,-3.95
Hydroxychloroquine,Site2,With_Water,0,With water,-3.6,0
Hydroxychloroquine,Site2,With_Water,0.15756261,Without water,-3.5,0
Hydroxychloroquine,Site2,With_Water,0.14639708,Reapeat with water,-3.7,0
Hydroxychloroquine,Site2,With_Water,0.21372594,Repeat without water,-3.5,-3.575
Hydroxychloroquine,Site2,Without_Water,0.000135425,With water,-3.6,0
Hydroxychloroquine,Site2,Without_Water,0.108902134,Without water,-3.8,0
Hydroxychloroquine,Site2,Without_Water,0.22034156,Reapeat with water,-3.8,0
Hydroxychloroquine,Site2,Without_Water,0.19645265,Repeat without water,-3.5,-3.675
Hydroxychloroquine,Site3d,With_Water,0,With water,-7.8,0
Hydroxychloroquine,Site3d,With_Water,0.20875819,Without water,-7.3,0
Hydroxychloroquine,Site3d,With_Water,0.22539338,Reapeat with water,-7.8,0
Hydroxychloroquine,Site3d,With_Water,0.08128944,Repeat without water,-7.3,-7.55
Hydroxychloroquine,Site3d,Without_Water,0,With water,-7.8,0
Hydroxychloroquine,Site3d,Without_Water,0.22403033,Without water,-7.3,0
Hydroxychloroquine,Site3d,Without_Water,0.19407204,Reapeat with water,-7.8,0
Hydroxychloroquine,Site3d,Without_Water,0.22204371,Repeat without water,-7.3,-7.55
Hydroxychloroquine,Site3m,With_Water,0.00019152,With water,-7.9,0
Hydroxychloroquine,Site3m,With_Water,0.23691082,Without water,-7.7,0
Hydroxychloroquine,Site3m,With_Water,0.23209244,Reapeat with water,-7.9,0
Hydroxychloroquine,Site3m,With_Water,0.20751224,Repeat without water,-7.7,-7.8
